(変更しないでください) JBSサービス,(変更しないでください) 行チェックサム,(変更しないでください) 修正日,サービスNo.,サービス名,サブスクリプション種別,カテゴリ
a55bfd1e-403b-e911-a971-000d3a51ce98,mPw9I6i1dgUBCYo6KueJ9XLYu4wjmXUe4aGqp+T0YePf8SO7+ZNnHQMP5ED67hk1TEgJ8hmcZzWGS9rIUJwJ3Q==,2020/10/27 6:43,S0090,マルウェア感染シャットアウトソリューション AppGuard,非サブスクリプション,
ad5bfd1e-403b-e911-a971-000d3a51ce98,9zpf0udp6BC6b8TYhuLpvoUIM4R9BuMzQZYVlOhd58Qa6cyj5GPUJMIyvLHnOXknX+NEaWa0/yYgCKByuVIyuQ==,2020/10/27 6:43,S0094,会議予定一発調整アプリ metis ami,サブスクリプション,
b15bfd1e-403b-e911-a971-000d3a51ce98,tBvTHZhMXhXkPcz85fPMBnwyvn/bhq0dav99mz+FSVTBCvVGUa9NWZciF+/N4Gv2MjVxvsLsXsBQTkngJK6pTA==,2020/10/27 6:43,S0096,標的型攻撃メール訓練サービス,非サブスクリプション,
68a51f08-4f50-e911-a96b-000d3a51d2c9,EqRaHa9r9NxmvbOwl8Gj32sF2+6un+RUlEP8mmkx6Q4JSEtjGU98wURu/2iUtJIa+JgWoXSxOYGVgHFWNAG3HA==,2020/10/27 6:43,S0097,マネージドセキュリティサービス for Azure Active Directory Identity Protection,サブスクリプション,
238efd92-9356-e911-a976-000d3a51dece,4ZUqTj1M/QaoNeRdPz6lames5TAiwpKhY3d/Ej6rowymBMd9Lb/lLnHbSQi6egn8JxnflduvtkPxm8GvoRnQJA==,2020/10/27 6:43,S0099,CSPライセンス利用（インダイレクト）,サブスクリプション,
49de0c90-8e91-e911-a973-000d3a51d2c9,vZeUX4tGTIU12VyZvxs9WlOUgEj0rY7e9daDSw5NSSmP52r2puilWyT+bKmOy9snR4/niu6pWJp9x0KOVSH9Bg==,2020/10/27 6:43,S0100,スマートスタート for Microsoft Teams,非サブスクリプション,
e4d0366b-9e91-e911-a973-000d3a51d2c9,I4H7l1VReKWwPbR+DzyxhMC/hKDnyLcelFR4ttQEAZ4q9PHjK0PvweKwe2Tq+FiQSrOdREs1UXpX6UOnsDfSVg==,2020/10/27 6:43,S0101,スマートスタート for アクセス制御,非サブスクリプション,
85b84c92-7392-e911-a973-000d3a51d2c9,mO78kNT9SKJ3QKia9miR5pMB41n+xIOlTvSm9NX+ParSiOO5ngDUm6p+Qyds5VD4O+XJlLYxiXO3lf3wNk1yuA==,2020/10/27 6:43,S0102,マネージドセキュリティサービス for Microsoft Cloud App Security,サブスクリプション,
83dbea00-ac11-ea11-a811-000d3a51d17e,NqxDreKiR09clMMeih2KeYGFJsIYgWlqCAzMs+PSBWkO6SQRDsX+0ZzWFIfsSZs9oUICKoMOfekNLwPwbRp+bQ==,2020/10/27 6:43,S0103,Surface Hub as a Service（2S）,サブスクリプション,
7163f34a-ac11-ea11-a811-000d3a51d17e,Hrsyf8wC12v+mPkseR9yEwCOIUyKc66OyxzxZYLHhDtNNI9yQtZIPdRL/u/78hAi9Uq4ap9NY5b0YhCnrn+6rQ==,2020/10/27 6:43,S0104,Surface Hub as a Service（オプション）,サブスクリプション,
